respondent_id,xyz_vaccine,seasonal_vaccine
31042,0.12,0.34
31043,0.13,0.47
31044,0.13,0.29
31045,0.23,0.69
31046,0.18,0.6
31047,0.03,0.05
31048,0.33,0.86
31049,0.14,0.2
31050,0.03,0.07
31051,0.14,0.36
31052,0.34,0.49
31053,0.09,0.19
31054,0.39,0.52
31055,0.21,0.42
31056,0.04,0.08
31057,0.47,0.65
31058,0.06,0.61
31059,0.05,0.29
31060,0.37,0.66
31061,0.04,0.17
31062,0.44,0.54
31063,0.29,0.7
31064,0.18,0.36
31065,0.1,0.13
31066,0.54,0.94
31067,0.15,0.18
31068,0.27,0.36
31069,0.84,0.96
31070,0.17,0.52
31071,0.53,0.65
31072,0.06,0.11
31073,0.39,0.9
31074,0.18,0.85
31075,0.14,0.67
31076,0.6,0.86
31077,0.23,0.37
31078,0.04,0.07
31079,0.83,0.85
31080,0.73,0.94
31081,0.14,0.59
31082,0.31,0.57
31083,0.18,0.74
31084,0.02,0.16
31085,0.13,0.22
31086,0.12,0.34
31087,0.17,0.69
31088,0.13,0.71
31089,0.21,0.08
31090,0.42,0.56
31091,0.21,0.74
31092,0.08,0.18
31093,0.07,0.15
31094,0.17,0.75
31095,0.2,0.27
31096,0.06,0.27
31097,0.71,0.81
31098,0.02,0.04
31099,0.09,0.33
31100,0.21,0.73
31101,0.3,0.54
31102,0.28,0.79
31103,0.44,0.89
31104,0.08,0.69
31105,0.25,0.69
31106,0.13,0.61
31107,0.2,0.57
31108,0.03,0.24
31109,0.15,0.17
31110,0.09,0.15
31111,0.21,0.62
31112,0.02,0.13
31113,0.16,0.34
31114,0.09,0.72
31115,0.04,0.12
31116,0.06,0.17
31117,0.42,0.8
31118,0.12,0.6
31119,0.12,0.31
31120,0.15,0.3
31121,0.86,0.93
31122,0.56,0.69
31123,0.08,0.16
31124,0.04,0.15
31125,0.25,0.42
31126,0.09,0.14
31127,0.21,0.25
31128,0.07,0.54
31129,0.01,0.06
31130,0.01,0.06
31131,0.78,0.84
31132,0.27,0.82
31133,0.07,0.14
31134,0.23,0.58
31135,0.09,0.68
31136,0.29,0.86
31137,0.03,0.12
31138,0.6,0.68
31139,0.35,0.46
31140,0.09,0.13
31141,0.13,0.86
31142,0.8,0.97
31143,0.3,0.48
31144,0.08,0.72
31145,0.36,0.55
31146,0.07,0.1
31147,0.14,0.38
31148,0.23,0.46
31149,0.05,0.17
31150,0.07,0.63
31151,0.02,0.08
31152,0.04,0.44
31153,0.05,0.2
31154,0.32,0.3
31155,0.8,0.91
31156,0.08,0.3
31157,0.33,0.81
31158,0.89,0.98
31159,0.02,0.17
31160,0.03,0.37
31161,0.28,0.39
31162,0.35,0.73
31163,0.32,0.51
31164,0.16,0.45
31165,0.23,0.32
31166,0.12,0.39
31167,0.1,0.15
31168,0.24,0.57
31169,0.06,0.31
31170,0.06,0.27
31171,0.13,0.26
31172,0.68,0.88
31173,0.2,0.57
31174,0.28,0.23
31175,0.08,0.23
31176,0.44,0.5
31177,0.07,0.71
31178,0.5,0.82
31179,0.29,0.7
31180,0.06,0.36
31181,0.24,0.59
31182,0.13,0.37
31183,0.17,0.42
31184,0.0,0.02
31185,0.07,0.22
31186,0.11,0.46
31187,0.04,0.26
31188,0.07,0.2
31189,0.18,0.48
31190,0.08,0.29
31191,0.27,0.47
31192,0.07,0.2
31193,0.07,0.17
31194,0.12,0.24
31195,0.33,0.28
31196,0.42,0.7
31197,0.05,0.32
31198,0.1,0.18
31199,0.09,0.41
31200,0.14,0.61
31201,0.13,0.15
31202,0.34,0.81
31203,0.02,0.1
31204,0.05,0.1
31205,0.09,0.97
31206,0.08,0.28
31207,0.14,0.25
31208,0.52,0.81
31209,0.39,0.57
31210,0.28,0.56
31211,0.06,0.21
31212,0.08,0.39
31213,0.02,0.14
31214,0.16,0.24
31215,0.1,0.61
31216,0.02,0.08
31217,0.17,0.72
31218,0.57,0.9
31219,0.41,0.74
31220,0.12,0.32
31221,0.1,0.46
31222,0.19,0.5
31223,0.15,0.35
31224,0.05,0.67
31225,0.05,0.11
31226,0.25,0.88
31227,0.05,0.15
31228,0.37,0.36
31229,0.26,0.8
31230,0.06,0.23
31231,0.02,0.08
31232,0.04,0.68
31233,0.51,0.65
31234,0.66,0.85
31235,0.38,0.47
31236,0.39,0.89
31237,0.13,0.46
31238,0.35,0.79
31239,0.71,0.72
31240,0.45,0.63
31241,0.17,0.38
31242,0.05,0.13
31243,0.14,0.62
31244,0.35,0.6
31245,0.27,0.39
31246,0.02,0.39
31247,0.07,0.71
31248,0.45,0.73
31249,0.09,0.21
31250,0.25,0.42
31251,0.69,0.9
31252,0.38,0.2
31253,0.19,0.96
31254,0.16,0.44
31255,0.18,0.58
31256,0.09,0.5
31257,0.07,0.47
31258,0.02,0.1
31259,0.23,0.82
31260,0.02,0.11
31261,0.02,0.18
31262,0.68,0.9
31263,0.19,0.29
31264,0.06,0.29
31265,0.33,0.47
31266,0.1,0.11
31267,0.17,0.89
31268,0.7,0.91
31269,0.19,0.42
31270,0.14,0.61
31271,0.21,0.45
31272,0.57,0.77
31273,0.26,0.36
31274,0.25,0.68
31275,0.07,0.11
31276,0.01,0.88
31277,0.16,0.28
31278,0.14,0.32
31279,0.02,0.2
31280,0.24,0.7
31281,0.04,0.09
31282,0.28,0.41
31283,0.13,0.34
31284,0.04,0.24
31285,0.07,0.93
31286,0.43,0.55
31287,0.05,0.66
31288,0.04,0.13
31289,0.14,0.6
31290,0.08,0.06
31291,0.11,0.11
31292,0.08,0.81
31293,0.17,0.7
31294,0.85,0.88
31295,0.04,0.26
31296,0.34,0.51
31297,0.19,0.91
31298,0.08,0.84
31299,0.33,0.38
31300,0.3,0.76
31301,0.65,0.63
31302,0.11,0.52
31303,0.1,0.07
31304,0.07,0.27
31305,0.36,0.65
31306,0.31,0.7
31307,0.07,0.06
31308,0.29,0.39
31309,0.11,0.51
31310,0.38,0.66
31311,0.14,0.31
31312,0.32,0.79
31313,0.17,0.18
31314,0.25,0.51
31315,0.1,0.25
31316,0.07,0.1
31317,0.04,0.07
31318,0.18,0.44
31319,0.2,0.53
31320,0.05,0.81
31321,0.22,0.23
31322,0.69,0.85
31323,0.54,0.79
31324,0.04,0.22
31325,0.23,0.45
31326,0.79,0.87
31327,0.09,0.42
31328,0.89,0.95
31329,0.07,0.66
31330,0.01,0.04
31331,0.14,0.48
31332,0.55,0.83
31333,0.35,0.76
31334,0.3,0.43
31335,0.19,0.29
31336,0.13,0.43
31337,0.12,0.24
31338,0.1,0.25
31339,0.19,0.78
31340,0.11,0.27
31341,0.26,0.7
31342,0.13,0.39
31343,0.13,0.4
31344,0.54,0.54
31345,0.67,0.85
31346,0.1,0.53
31347,0.2,0.57
31348,0.46,0.6
31349,0.02,0.16
31350,0.39,0.79
31351,0.03,0.77
31352,0.02,0.1
31353,0.18,0.3
31354,0.11,0.79
31355,0.04,0.66
31356,0.11,0.36
31357,0.43,0.52
31358,0.05,0.12
31359,0.04,0.16
31360,0.07,0.18
31361,0.14,0.47
31362,0.02,0.2
31363,0.5,0.76
31364,0.19,0.46
31365,0.44,0.5
31366,0.14,0.23
31367,0.07,0.13
31368,0.11,0.45
31369,0.45,0.7
31370,0.12,0.21
31371,0.06,0.13
31372,0.73,0.78
31373,0.08,0.58
31374,0.16,0.34
31375,0.26,0.69
31376,0.16,0.66
31377,0.81,0.95
31378,0.22,0.49
31379,0.77,0.88
31380,0.41,0.44
31381,0.12,0.2
31382,0.14,0.67
31383,0.92,0.98
31384,0.79,0.91
31385,0.3,0.67
31386,0.38,0.62
31387,0.35,0.6
31388,0.55,0.51
31389,0.09,0.8
31390,0.1,0.56
31391,0.75,0.91
31392,0.42,0.78
31393,0.1,0.1
31394,0.34,0.47
31395,0.01,0.08
31396,0.54,0.72
31397,0.04,0.32
31398,0.27,0.35
31399,0.86,0.9
31400,0.78,0.79
31401,0.11,0.72
31402,0.38,0.74
31403,0.34,0.22
31404,0.12,0.15
31405,0.08,0.6
31406,0.03,0.32
31407,0.45,0.47
31408,0.07,0.15
31409,0.02,0.19
31410,0.2,0.38
31411,0.14,0.4
31412,0.25,0.58
31413,0.24,0.28
31414,0.08,0.15
31415,0.02,0.29
31416,0.07,0.56
31417,0.42,0.72
31418,0.11,0.15
31419,0.81,0.88
31420,0.0,0.08
31421,0.07,0.3
31422,0.15,0.27
31423,0.67,0.85
31424,0.1,0.36
31425,0.08,0.29
31426,0.3,0.73
31427,0.17,0.65
31428,0.19,0.69
31429,0.12,0.72
31430,0.23,0.63
31431,0.12,0.15
31432,0.01,0.14
31433,0.73,0.89
31434,0.4,0.54
31435,0.06,0.31
31436,0.22,0.61
31437,0.34,0.66
31438,0.29,0.5
31439,0.64,0.86
31440,0.21,0.67
31441,0.48,0.77
31442,0.81,0.84
31443,0.01,0.05
31444,0.09,0.18
31445,0.22,0.29
31446,0.65,0.88
31447,0.21,0.7
31448,0.92,0.97
31449,0.07,0.17
31450,0.18,0.75
31451,0.27,0.72
31452,0.17,0.25
31453,0.16,0.35
31454,0.8,0.84
31455,0.23,0.82
31456,0.18,0.4
31457,0.12,0.35
31458,0.43,0.64
31459,0.09,0.12
31460,0.08,0.27
31461,0.11,0.5
31462,0.09,0.8
31463,0.09,0.79
31464,0.07,0.47
31465,0.85,0.95
31466,0.02,0.34
31467,0.54,0.86
31468,0.33,0.45
31469,0.41,0.49
31470,0.12,0.77
31471,0.09,0.63
31472,0.44,0.8
31473,0.8,0.85
31474,0.6,0.87
31475,0.7,0.81
31476,0.03,0.19
31477,0.24,0.26
31478,0.05,0.16
31479,0.34,0.85
31480,0.05,0.14
31481,0.17,0.52
31482,0.31,0.79
31483,0.2,0.23
31484,0.06,0.11
31485,0.02,0.1
31486,0.12,0.7
31487,0.7,0.84
31488,0.06,0.25
31489,0.66,0.93
31490,0.81,0.85
31491,0.31,0.8
31492,0.44,0.36
31493,0.03,0.15
31494,0.11,0.17
31495,0.04,0.65
31496,0.11,0.69
31497,0.08,0.21
31498,0.14,0.44
31499,0.07,0.31
31500,0.91,0.91
31501,0.06,0.57
31502,0.13,0.34
31503,0.11,0.22
31504,0.49,0.69
31505,0.67,0.88
31506,0.12,0.25
31507,0.16,0.8
31508,0.33,0.57
31509,0.12,0.96
31510,0.12,0.52
31511,0.21,0.49
31512,0.23,0.33
31513,0.19,0.34
31514,0.59,0.65
31515,0.23,0.52
31516,0.06,0.15
31517,0.25,0.49
31518,0.06,0.66
31519,0.15,0.65
31520,0.09,0.73
31521,0.21,0.89
31522,0.8,0.88
31523,0.16,0.56
31524,0.03,0.09
31525,0.54,0.74
31526,0.43,0.84
31527,0.08,0.45
31528,0.15,0.23
31529,0.2,0.43
31530,0.05,0.18
31531,0.2,0.32
31532,0.02,0.12
31533,0.88,0.77
31534,0.13,0.28
31535,0.53,0.75
31536,0.19,0.85
31537,0.1,0.22
31538,0.04,0.21
31539,0.67,0.74
31540,0.07,0.39
31541,0.03,0.43
31542,0.09,0.4
31543,0.1,0.3
31544,0.49,0.72
31545,0.04,0.53
31546,0.07,0.21
31547,0.74,0.86
31548,0.33,0.44
31549,0.13,0.82
31550,0.06,0.2
31551,0.49,0.59
31552,0.04,0.97
31553,0.29,0.38
31554,0.09,0.12
31555,0.47,0.63
31556,0.32,0.44
31557,0.01,0.1
31558,0.15,0.4
31559,0.18,0.68
31560,0.71,0.8
31561,0.08,0.13
31562,0.07,0.11
31563,0.1,0.13
31564,0.29,0.68
31565,0.21,0.83
31566,0.18,0.24
31567,0.21,0.39
31568,0.08,0.87
31569,0.07,0.17
31570,0.47,0.7
31571,0.12,0.53
31572,0.08,0.41
31573,0.2,0.27
31574,0.34,0.68
31575,0.25,0.43
31576,0.29,0.65
31577,0.11,0.46
31578,0.29,0.77
31579,0.08,0.2
31580,0.21,0.68
31581,0.62,0.81
31582,0.22,0.4
31583,0.09,0.65
31584,0.06,0.34
31585,0.05,0.14
31586,0.02,0.08
31587,0.28,0.59
31588,0.18,0.51
31589,0.05,0.2
31590,0.39,0.34
31591,0.09,0.26
31592,0.22,0.24
31593,0.13,0.38
31594,0.06,0.5
31595,0.13,0.4
31596,0.39,0.72
31597,0.05,0.58
31598,0.45,0.78
31599,0.43,0.83
31600,0.35,0.51
31601,0.17,0.78
31602,0.02,0.06
31603,0.15,0.42
31604,0.11,0.39
31605,0.13,0.38
31606,0.06,0.36
31607,0.22,0.34
31608,0.21,0.47
31609,0.17,0.23
31610,0.04,0.32
31611,0.11,0.63
31612,0.22,0.39
31613,0.06,0.05
31614,0.05,0.12
31615,0.21,0.26
31616,0.16,0.29
31617,0.31,0.74
31618,0.16,0.32
31619,0.25,0.44
31620,0.08,0.26
31621,0.07,0.1
31622,0.61,0.79
31623,0.1,0.09
31624,0.03,0.08
31625,0.09,0.85
31626,0.2,0.55
31627,0.03,0.09
31628,0.12,0.62
31629,0.4,0.45
31630,0.16,0.76
31631,0.23,0.26
31632,0.25,0.36
31633,0.12,0.25
31634,0.17,0.53
31635,0.22,0.26
31636,0.49,0.71
31637,0.04,0.2
31638,0.49,0.75
31639,0.57,0.85
31640,0.07,0.23
31641,0.75,0.94
31642,0.45,0.83
31643,0.33,0.38
31644,0.24,0.63
31645,0.03,0.07
31646,0.15,0.63
31647,0.35,0.86
31648,0.3,0.6
31649,0.16,0.74
31650,0.36,0.36
31651,0.62,0.9
31652,0.83,0.82
31653,0.13,0.39
31654,0.08,0.23
31655,0.09,0.19
31656,0.19,0.6
31657,0.11,0.41
31658,0.06,0.31
31659,0.08,0.85
31660,0.84,0.94
31661,0.41,0.87
31662,0.14,0.23
31663,0.48,0.74
31664,0.61,0.84
31665,0.04,0.93
31666,0.23,0.67
31667,0.07,0.19
31668,0.13,0.13
31669,0.08,0.19
31670,0.35,0.83
31671,0.09,0.36
31672,0.09,0.18
31673,0.11,0.6
31674,0.23,0.75
31675,0.38,0.47
31676,0.02,0.36
31677,0.09,0.44
31678,0.8,0.96
31679,0.3,0.69
31680,0.08,0.87
31681,0.08,0.22
31682,0.02,0.6
31683,0.04,0.07
31684,0.02,0.08
31685,0.32,0.63
31686,0.29,0.32
31687,0.06,0.47
31688,0.02,0.05
31689,0.29,0.86
31690,0.11,0.58
31691,0.1,0.67
31692,0.03,0.28
31693,0.05,0.24
31694,0.25,0.77
31695,0.45,0.58
31696,0.21,0.4
31697,0.35,0.75
31698,0.06,0.11
31699,0.24,0.77
31700,0.14,0.7
31701,0.1,0.88
31702,0.09,0.72
31703,0.07,0.14
31704,0.67,0.76
31705,0.34,0.59
31706,0.24,0.67
31707,0.48,0.79
31708,0.36,0.63
31709,0.84,0.75
31710,0.15,0.69
31711,0.19,0.46
31712,0.28,0.67
31713,0.02,0.22
31714,0.11,0.57
31715,0.66,0.8
31716,0.04,0.27
31717,0.1,0.64
31718,0.07,0.24
31719,0.1,0.4
31720,0.11,0.74
31721,0.02,0.05
31722,0.19,0.83
31723,0.21,0.39
31724,0.26,0.43
31725,0.04,0.06
31726,0.0,0.24
31727,0.19,0.37
31728,0.08,0.71
31729,0.32,0.36
31730,0.6,0.86
31731,0.06,0.21
31732,0.25,0.42
31733,0.28,0.51
31734,0.11,0.57
31735,0.23,0.6
31736,0.07,0.33
31737,0.2,0.22
31738,0.16,0.47
31739,0.16,0.97
31740,0.15,0.58
31741,0.03,0.2
31742,0.25,0.66
31743,0.11,0.41
31744,0.41,0.5
31745,0.05,0.33
31746,0.08,0.19
31747,0.07,0.51
31748,0.1,0.18
31749,0.08,0.79
31750,0.11,0.44
31751,0.07,0.05
31752,0.02,0.16
31753,0.06,0.95
31754,0.09,0.71
31755,0.0,0.04
31756,0.35,0.84
31757,0.51,0.76
31758,0.76,0.86
31759,0.05,0.18
31760,0.31,0.33
31761,0.12,0.4
31762,0.12,0.27
31763,0.6,0.52
31764,0.14,0.25
31765,0.24,0.68
31766,0.3,0.39
31767,0.43,0.83
31768,0.07,0.08
31769,0.01,0.05
31770,0.24,0.62
31771,0.24,0.4
31772,0.14,0.68
31773,0.08,0.45
31774,0.11,0.53
31775,0.26,0.87
31776,0.36,0.72
31777,0.07,0.22
31778,0.06,0.23
31779,0.01,0.07
31780,0.12,0.56
31781,0.13,0.15
31782,0.1,0.38
31783,0.23,0.36
31784,0.01,0.14
31785,0.2,0.27
31786,0.14,0.11
31787,0.12,0.5
31788,0.16,0.46
31789,0.08,0.56
31790,0.1,0.31
31791,0.03,0.15
31792,0.15,0.44
31793,0.1,0.24
31794,0.19,0.69
31795,0.12,0.17
31796,0.22,0.5
31797,0.42,0.59
31798,0.25,0.66
31799,0.03,0.03
31800,0.25,0.42
31801,0.68,0.85
31802,0.58,0.89
31803,0.12,0.86
31804,0.01,0.04
31805,0.08,0.19
31806,0.21,0.27
31807,0.58,0.68
31808,0.15,0.72
31809,0.33,0.41
31810,0.04,0.1
31811,0.54,0.33
31812,0.24,0.94
31813,0.19,0.63
31814,0.18,0.38
31815,0.29,0.38
31816,0.12,0.58
31817,0.09,0.18
31818,0.62,0.78
31819,0.04,0.12
31820,0.18,0.32
31821,0.05,0.11
31822,0.41,0.68
31823,0.25,0.58
31824,0.49,0.84
31825,0.18,0.34
31826,0.1,0.53
31827,0.42,0.36
31828,0.33,0.48
31829,0.04,0.1
31830,0.33,0.53
31831,0.25,0.74
31832,0.17,0.65
31833,0.08,0.48
31834,0.18,0.53
31835,0.05,0.21
31836,0.03,0.06
31837,0.73,0.9
31838,0.3,0.66
31839,0.08,0.2
31840,0.19,0.23
31841,0.09,0.27
31842,0.12,0.3
31843,0.57,0.77
31844,0.08,0.78
31845,0.51,0.66
31846,0.42,0.84
31847,0.06,0.58
31848,0.05,0.27
31849,0.08,0.17
31850,0.03,0.1
31851,0.11,0.2
31852,0.28,0.31
31853,0.65,0.89
31854,0.54,0.9
31855,0.86,0.91
31856,0.05,0.13
31857,0.07,0.76
31858,0.2,0.54
31859,0.27,0.6
31860,0.32,0.63
31861,0.06,0.19
31862,0.03,0.11
31863,0.32,0.74
31864,0.16,0.44
31865,0.17,0.59
31866,0.14,0.24
31867,0.11,0.54
31868,0.07,0.21
31869,0.0,0.16
31870,0.07,0.11
31871,0.71,0.93
31872,0.04,0.25
31873,0.09,0.43
31874,0.05,0.14
31875,0.23,0.57
31876,0.07,0.15
31877,0.1,0.04
31878,0.03,0.93
31879,0.14,0.5
31880,0.02,0.08
31881,0.3,0.49
31882,0.05,0.22
31883,0.31,0.43
31884,0.01,0.06
31885,0.36,0.75
31886,0.02,0.12
31887,0.09,0.24
31888,0.08,0.3
31889,0.18,0.73
31890,0.21,0.33
31891,0.0,0.15
31892,0.54,0.85
31893,0.13,0.52
31894,0.32,0.86
31895,0.04,0.13
31896,0.24,0.65
31897,0.29,0.68
31898,0.05,0.24
31899,0.66,0.83
31900,0.43,0.46
31901,0.17,0.22
31902,0.05,0.24
31903,0.44,0.47
31904,0.08,0.12
31905,0.05,0.21
31906,0.01,0.19
31907,0.1,0.61
31908,0.04,0.04
31909,0.22,0.4
31910,0.04,0.63
31911,0.2,0.9
31912,0.18,0.55
31913,0.08,0.45
31914,0.13,0.71
31915,0.22,0.74
31916,0.12,0.73
31917,0.27,0.31
31918,0.22,0.88
31919,0.47,0.41
31920,0.04,0.79
31921,0.08,0.49
31922,0.0,0.13
31923,0.04,0.12
31924,0.15,0.23
31925,0.03,0.81
31926,0.02,0.07
31927,0.35,0.45
31928,0.37,0.87
31929,0.1,0.29
31930,0.29,0.49
31931,0.06,0.7
31932,0.1,0.25
31933,0.33,0.37
31934,0.12,0.35
31935,0.62,0.91
31936,0.08,0.32
31937,0.16,0.33
31938,0.25,0.55
31939,0.02,0.16
31940,0.1,0.15
31941,0.04,0.5
31942,0.01,0.05
31943,0.03,0.2
31944,0.21,0.79
31945,0.32,0.64
31946,0.19,0.29
31947,0.04,0.13
31948,0.12,0.87
31949,0.1,0.21
31950,0.02,0.15
31951,0.25,0.41
31952,0.2,0.38
31953,0.0,0.23
31954,0.51,0.82
31955,0.01,0.18
31956,0.15,0.23
31957,0.23,0.6
31958,0.01,0.04
31959,0.09,0.19
31960,0.06,0.35
31961,0.0,0.06
31962,0.13,0.44
31963,0.48,0.74
31964,0.06,0.1
31965,0.08,0.9
31966,0.08,0.22
31967,0.04,0.15
31968,0.42,0.39
31969,0.14,0.58
31970,0.35,0.46
31971,0.07,0.39
31972,0.1,0.33
31973,0.03,0.21
31974,0.0,0.14
31975,0.01,0.06
31976,0.18,0.25
31977,0.06,0.13
31978,0.25,0.56
31979,0.07,0.22
31980,0.14,0.54
31981,0.12,0.33
31982,0.06,0.19
31983,0.23,0.4
31984,0.05,0.1
31985,0.09,0.16
31986,0.51,0.94
31987,0.07,0.41
31988,0.5,0.75
31989,0.16,0.92
31990,0.04,0.89
31991,0.36,0.55
31992,0.2,0.25
31993,0.39,0.46
31994,0.05,0.26
31995,0.29,0.47
31996,0.13,0.25
31997,0.06,0.91
31998,0.04,0.32
31999,0.03,0.11
32000,0.14,0.8
32001,0.08,0.34
32002,0.4,0.62
32003,0.28,0.42
32004,0.45,0.86
32005,0.03,0.12
32006,0.17,0.58
32007,0.65,0.81
32008,0.0,0.06
32009,0.06,0.23
32010,0.14,0.5
32011,0.17,0.82
32012,0.15,0.77
32013,0.34,0.72
32014,0.19,0.37
32015,0.28,0.4
32016,0.64,0.72
32017,0.07,0.2
32018,0.11,0.14
32019,0.19,0.49
32020,0.61,0.74
32021,0.08,0.27
32022,0.13,0.41
32023,0.15,0.83
32024,0.2,0.35
32025,0.23,0.53
32026,0.38,0.63
32027,0.08,0.89
32028,0.62,0.83
32029,0.05,0.1
32030,0.17,0.43
32031,0.04,0.16
32032,0.48,0.39
32033,0.0,0.11
32034,0.09,0.47
32035,0.13,0.08
32036,0.4,0.76
32037,0.1,0.79
32038,0.35,0.74
32039,0.29,0.3
32040,0.19,0.73
32041,0.51,0.84
32042,0.21,0.68
32043,0.45,0.73
32044,0.04,0.24
32045,0.06,0.86
32046,0.11,0.35
32047,0.81,0.93
32048,0.13,0.41
32049,0.02,0.17
32050,0.49,0.7
32051,0.05,0.73
32052,0.69,0.76
32053,0.05,0.14
32054,0.18,0.43
32055,0.06,0.35
32056,0.11,0.48
32057,0.02,0.04
32058,0.05,0.26
32059,0.15,0.67
32060,0.2,0.82
32061,0.2,0.23
32062,0.31,0.26
32063,0.1,0.66
32064,0.1,0.22
32065,0.16,0.29
32066,0.04,0.16
32067,0.1,0.14
32068,0.03,0.3
32069,0.64,0.89
32070,0.67,0.9
32071,0.54,0.68
32072,0.72,0.83
32073,0.03,0.1
32074,0.06,0.48
32075,0.02,0.13
32076,0.1,0.81
32077,0.2,0.5
32078,0.03,0.08
32079,0.01,0.08
32080,0.06,0.17
32081,0.59,0.77
32082,0.02,0.08
32083,0.03,0.16
32084,0.08,0.43
32085,0.16,0.68
32086,0.64,0.73
32087,0.06,0.86
32088,0.11,0.68
32089,0.27,0.76
32090,0.19,0.61
32091,0.4,0.35
32092,0.32,0.58
32093,0.06,0.22
32094,0.07,0.43
32095,0.75,0.73
32096,0.29,0.8
32097,0.33,0.6
32098,0.05,0.09
32099,0.19,0.38
32100,0.13,0.32
32101,0.32,0.57
32102,0.07,0.38
32103,0.15,0.48
32104,0.07,0.38
32105,0.11,0.77
32106,0.43,0.58
32107,0.02,0.26
32108,0.22,0.31
32109,0.07,0.27
32110,0.09,0.4
32111,0.3,0.46
32112,0.8,0.73
32113,0.2,0.32
32114,0.46,0.6
32115,0.02,0.18
32116,0.05,0.13
32117,0.33,0.82
32118,0.07,0.54
32119,0.43,0.76
32120,0.25,0.73
32121,0.46,0.69
32122,0.07,0.63
32123,0.07,0.28
32124,0.11,0.96
32125,0.04,0.13
32126,0.4,0.8
32127,0.24,0.43
32128,0.48,0.71
32129,0.12,0.25
32130,0.27,0.54
32131,0.89,0.97
32132,0.08,0.79
32133,0.02,0.04
32134,0.11,0.86
32135,0.14,0.46
32136,0.1,0.16
32137,0.08,0.67
32138,0.22,0.65
32139,0.15,0.2
32140,0.39,0.19
32141,0.16,0.39
32142,0.17,0.8
32143,0.13,0.4
32144,0.16,0.33
32145,0.11,0.32
32146,0.13,0.15
32147,0.07,0.28
32148,0.65,0.93
32149,0.1,0.4
32150,0.05,0.77
32151,0.04,0.08
32152,0.03,0.66
32153,0.13,0.51
32154,0.04,0.14
32155,0.11,0.39
32156,0.08,0.15
32157,0.02,0.07
32158,0.03,0.75
32159,0.85,0.94
32160,0.26,0.38
32161,0.28,0.18
32162,0.03,0.29
32163,0.13,0.28
32164,0.27,0.26
32165,0.34,0.64
32166,0.11,0.36
32167,0.05,0.49
32168,0.05,0.17
32169,0.07,0.32
32170,0.45,0.69
32171,0.06,0.57
32172,0.75,0.88
32173,0.13,0.4
32174,0.15,0.2
32175,0.28,0.88
32176,0.74,0.83
32177,0.19,0.46
32178,0.04,0.13
32179,0.14,0.72
32180,0.11,0.37
32181,0.15,0.24
32182,0.16,0.31
32183,0.54,0.92
32184,0.15,0.26
32185,0.3,0.43
32186,0.15,0.35
32187,0.23,0.65
32188,0.42,0.51
32189,0.39,0.74
32190,0.42,0.71
32191,0.01,0.16
32192,0.06,0.25
32193,0.1,0.44
32194,0.02,0.01
32195,0.04,0.3
32196,0.54,0.81
32197,0.02,0.1
32198,0.35,0.55
32199,0.55,0.86
32200,0.13,0.29
32201,0.17,0.22
32202,0.17,0.88
32203,0.25,0.81
32204,0.32,0.64
32205,0.08,0.75
32206,0.19,0.89
32207,0.68,0.8
32208,0.02,0.15
32209,0.07,0.25
32210,0.1,0.66
32211,0.03,0.13
32212,0.05,0.36
32213,0.02,0.13
32214,0.03,0.1
32215,0.2,0.36
32216,0.76,0.9
32217,0.05,0.17
32218,0.3,0.67
32219,0.04,0.18
32220,0.51,0.78
32221,0.54,0.62
32222,0.09,0.1
32223,0.48,0.84
32224,0.44,0.61
32225,0.21,0.56
32226,0.39,0.77
32227,0.1,0.3
32228,0.67,0.67
32229,0.07,0.38
32230,0.02,0.1
32231,0.62,0.76
32232,0.21,0.48
32233,0.19,0.63
32234,0.05,0.53
32235,0.2,0.8
32236,0.22,0.94
32237,0.91,0.96
32238,0.08,0.13
32239,0.06,0.08
32240,0.13,0.37
32241,0.65,0.76
32242,0.06,0.36
32243,0.15,0.15
32244,0.02,0.12
32245,0.12,0.51
32246,0.32,0.5
32247,0.06,0.67
32248,0.33,0.57
32249,0.21,0.38
32250,0.09,0.48
32251,0.21,0.31
32252,0.28,0.58
32253,0.16,0.29
32254,0.02,0.16
32255,0.1,0.53
32256,0.19,0.45
32257,0.11,0.61
32258,0.04,0.21
32259,0.11,0.69
32260,0.04,0.36
32261,0.23,0.36
32262,0.22,0.23
32263,0.08,0.49
32264,0.14,0.31
32265,0.39,0.64
32266,0.12,0.31
32267,0.03,0.19
32268,0.06,0.14
32269,0.42,0.63
32270,0.44,0.66
32271,0.56,0.73
32272,0.09,0.37
32273,0.27,0.35
32274,0.41,0.76
32275,0.17,0.79
32276,0.28,0.25
32277,0.15,0.37
32278,0.13,0.35
32279,0.07,0.14
32280,0.26,0.14
32281,0.84,0.93
32282,0.05,0.08
32283,0.08,0.64
32284,0.5,0.81
32285,0.24,0.46
32286,0.15,0.47
32287,0.05,0.35
32288,0.19,0.68
32289,0.63,0.89
32290,0.04,0.12
32291,0.14,0.4
32292,0.19,0.34
32293,0.38,0.77
32294,0.19,0.38
32295,0.03,0.28
32296,0.11,0.57
32297,0.35,0.86
32298,0.02,0.05
32299,0.08,0.22
32300,0.01,0.11
32301,0.13,0.46
32302,0.06,0.15
32303,0.35,0.51
32304,0.11,0.32
32305,0.13,0.25
32306,0.5,0.74
32307,0.13,0.36
32308,0.29,0.74
32309,0.42,0.64
32310,0.37,0.59
32311,0.07,0.38
